epoch,training loss,lr,test loss
1,0.93438,3.000000e-03,0.944852
2,0.80121,2.999245e-03,0.865010
3,0.79717,2.996980e-03,0.821983
4,0.77451,2.993208e-03,0.785425
5,0.79419,2.987932e-03,0.742804
6,0.71348,2.981158e-03,0.737147
7,0.72683,2.972893e-03,0.701435
8,0.64715,2.963145e-03,0.691222
9,0.69214,2.951923e-03,0.676967
10,0.62585,2.939239e-03,0.680801
11,0.57882,2.925107e-03,0.661485
12,0.65039,2.909539e-03,0.666891
13,0.65223,2.892552e-03,0.650017
14,0.55449,2.874163e-03,0.653823
15,0.61609,2.854390e-03,0.636820
16,0.57599,2.833253e-03,0.636960
17,0.68933,2.810774e-03,0.636462
18,0.59155,2.786975e-03,0.634450
19,0.58314,2.761880e-03,0.628213
20,0.56980,2.735515e-03,0.628188
21,0.58358,2.707905e-03,0.630296
22,0.60037,2.679080e-03,0.621919
23,0.61824,2.649067e-03,0.619285
24,0.50307,2.617897e-03,0.621442
25,0.62951,2.585601e-03,0.619990
26,0.60693,2.552212e-03,0.620876
27,0.55641,2.517764e-03,0.618120
28,0.57502,2.482291e-03,0.620465
29,0.53734,2.445829e-03,0.618980
30,0.62164,2.408415e-03,0.622100
31,0.54188,2.370085e-03,0.620219
32,0.53983,2.330880e-03,0.626907
33,0.58364,2.290838e-03,0.627054
34,0.61211,2.250000e-03,0.623836
35,0.49092,2.208407e-03,0.626909
36,0.57199,2.166100e-03,0.628995
37,0.54194,2.123123e-03,0.631572
38,0.56440,2.079518e-03,0.637888
39,0.52778,2.035329e-03,0.639782
40,0.60127,1.990602e-03,0.644332
41,0.56759,1.945381e-03,0.649299
42,0.48463,1.899711e-03,0.654698
43,0.40935,1.853638e-03,0.663964
44,0.46101,1.807210e-03,0.670057
45,0.57466,1.760472e-03,0.678161
46,0.55142,1.713472e-03,0.689166
47,0.55426,1.666257e-03,0.702610
48,0.52702,1.618875e-03,0.711132
49,0.48544,1.571373e-03,0.722420
50,0.45013,1.523799e-03,0.743673
51,0.54934,1.476201e-03,0.753954
52,0.47267,1.428627e-03,0.770965
53,0.46762,1.381125e-03,0.798238
54,0.58452,1.333743e-03,0.819507
55,0.54166,1.286528e-03,0.835993
56,0.44194,1.239528e-03,0.859849
57,0.43291,1.192790e-03,0.892955
58,0.46386,1.146362e-03,0.928837
59,0.43992,1.100289e-03,0.951267
60,0.37297,1.054619e-03,0.971949
61,0.44430,1.009398e-03,1.002336
62,0.40483,9.646707e-04,1.049123
63,0.38749,9.204823e-04,1.078702
64,0.42353,8.768775e-04,1.125863
65,0.40376,8.339001e-04,1.182558
66,0.37079,7.915934e-04,1.200220
67,0.38991,7.500000e-04,1.273639
68,0.35280,7.091618e-04,1.299392
69,0.31713,6.691199e-04,1.367419
70,0.29288,6.299146e-04,1.397574
71,0.36931,5.915855e-04,1.448108
72,0.35495,5.541710e-04,1.518535
73,0.31098,5.177089e-04,1.580000
74,0.30639,4.822359e-04,1.619341
75,0.27134,4.477877e-04,1.710185
76,0.31634,4.143989e-04,1.763750
77,0.33204,3.821033e-04,1.842630
78,0.25068,3.509333e-04,1.923722
79,0.20095,3.209204e-04,1.964635
80,0.27243,3.000000e-04,2.056720
81,0.27749,3.000000e-04,2.119944
82,0.26417,3.000000e-04,2.188212
83,0.22179,3.000000e-04,2.239943
84,0.23133,3.000000e-04,2.282408
85,0.18685,3.000000e-04,2.349687
86,0.19542,3.000000e-04,2.405856
87,0.21325,3.000000e-04,2.449377
88,0.21455,3.000000e-04,2.483662
89,0.22967,3.000000e-04,2.547727
90,0.15645,3.000000e-04,2.587734
91,0.20274,3.000000e-04,2.647298
92,0.18120,3.000000e-04,2.693565
93,0.21018,3.000000e-04,2.730321
94,0.15078,3.000000e-04,2.765346
95,0.15782,3.000000e-04,2.791912
96,0.21313,3.000000e-04,2.856779
97,0.23255,3.000000e-04,2.905819
98,0.16615,3.000000e-04,2.933106
99,0.19352,3.000000e-04,2.978888
100,0.21334,3.000000e-04,2.990892
